"Sigla","Cod_provincia_ISTAT","nM","mV","nF","fV","vr","logvr","sesso","minn","SE","Coort","Year","Grade","gamlssSE","Regioni","Provincia","TassoOccup_MeanM","TassoOccup_MeanF","TassoOccup_MeanT","ValAgg_Mean","AmmDonne_X2009","AmmDonne_X2010","AmmDonne_X2011","AmmDonne_X2012","AmmDonne_X2013","AmmDonne_X2014","AmmDonne_X2015","AmmDonne_X2016","AmmDonne_X2017","AmmDonne_X2018","AmmDonne_X2019","AmmDonne_X2020","AmmDonne_X2021","AmmDonne_X2022","AmmDonne_Mean","Filter"
"TO",1,9268,1574.8868713262,8937,1470.99971139643,1.07062350802989,0.0682411965446776,-0.00568630313734073,8937,0.0211560271991792,7,1819,5,0.112656872321337,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9400,1898.66307145627,8813,1847.7988987319,1.0275268984949,0.0271548456294392,0.758361579259565,8813,0.0213043412817487,7,1516,2,0.0571191690196557,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7452,1701.86362050265,7783,1431.81794488798,1.18860336020987,0.172778970978123,1.04249664086562,7452,0.0231682682285639,17,1819,13,0.0139558268261661,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8523,1621.86664331792,8231,1312.43563468359,1.23576852110461,0.211693060836584,1.29592057253131,8231,0.0220446747117999,5,2122,10,0.0561127379080355,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9178,1341.35694942014,8839,1285.35122804627,1.0435723093827,0.0426497401824378,1.15577254471851,8839,0.0212729847477248,6,1718,5,0.0150156249888887,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10259,1309.42631953558,9589,1317.65192355003,0.993757377143814,-0.00626218950020521,0.0122329901191793,9589,0.020424119195344,4,1819,8,0.0143608501682451,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10188,1428.7334025092,9524,1486.41421593851,0.961194657040539,-0.0395783337697516,-0.215670365411597,9524,0.0204936965959779,3,1718,8,0.0156566976104432,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7549,2383.73696824654,7635,2406.60112778103,0.990499397980602,-0.00954602063715206,-0.420534760822168,7549,0.0230189379893981,13,2122,2,0.102320618178739,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7395,2246.73942219482,7241,2718.46893725986,0.826472354125728,-0.190588811614163,0.482463349437303,7241,0.0235034016290621,18,1617,10,0.301511344577764,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9730,1502.5724069704,9400,1557.70390293176,0.964607204323239,-0.036034302659379,-0.413960841568395,9400,0.0206284249251759,2,1617,8,0.343592135468138,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9043,1449.8375028878,8845,1480.13057970042,0.97953351060502,-0.0206788302327623,0.442280288165422,8845,0.0212657682660061,15,1213,8,0.0488088403139876,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10151,1360.52890519245,9589,1323.7300264146,1.02779938359298,0.0274199958414124,0.930301358037975,9589,0.020424119195344,6,2021,8,0.0294500142790454,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10213,1374.05522540499,9596,1354.54892335104,1.01440058879947,0.014297885141777,0.231120909490618,9596,0.020416668438947,7,2122,8,0.192069377013354,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7671,1682.80531520103,8058,1359.55254254064,1.23776408968816,0.213306598501539,-0.236017811173631,7671,0.0228351571264737,2,2122,13,0.115646555824745,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8541,1648.14024259095,8178,1587.66343261987,1.03809170679915,0.0373841303585922,-0.192833743433174,8178,0.0221159929362414,3,1415,5,0.0487204786556362,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9275,1682.72903651954,8918,1697.91294793836,0.991057308658104,-0.00898291720400212,0.0223386932139679,8918,0.0211785519046029,4,1213,2,0.0565162868342778,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7662,2288.99151182565,7258,2312.76005325659,0.989722867533332,-0.0103303068262301,-0.0270698699656778,7258,0.0234758601529334,14,2223,2,0.0924635428654203,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7808,1712.38120180244,7536,1772.7408898619,0.965951206741691,-0.0346419566646907,0.538046222916763,7536,0.0230387838792046,12,2021,2,0.10339267502521,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
